日文,假名,英文解释
こんにちは,こんにちは,Hello / Good afternoon
ありがとう,ありがとう,Thank you
すみません,すみません,Excuse me / Sorry
はい,はい,Yes
いいえ,いいえ,No
おはよう,おはよう,Good morning
こんばんは,こんばんは,Good evening
さようなら,さようなら,Goodbye
お願いします,おねがいします,Please / I beg you
ごめんなさい,ごめんなさい,I'm sorry
名前,なまえ,Name
友達,ともだち,Friend
家族,かぞく,Family
食べ物,たべもの,Food
水,みず,Water
お茶,おちゃ,Tea
コーヒー,コーヒー,Coffee
本,ほん,Book
学校,がっこう,School
仕事,しごと,Work / Job
休み,やすみ,Rest / Break / Holiday
時間,じかん,Time
今日,きょう,Today
明日,あした,Tomorrow
昨日,きのう,Yesterday
元気,げんき,Healthy / Energetic
天気,てんき,Weather
映画,えいが,Movie
音楽,おんがく,Music
旅行,りょこう,Travel
手紙,てがみ,Letter
電話,でんわ,Phone
質問,しつもん,Question
答え,こたえ,Answer
勉強,べんきょう,Study
先生,せんせい,Teacher
学生,がくせい,Student
日本語,にほんご,Japanese language
英語,えいご,English language
中国語,ちゅうごくご,Chinese language
韓国語,かんこくご,Korean language
フランス語,フランスご,French language
スペイン語,スペインご,Spanish language
ドイツ語,ドイツご,German language
イタリア語,イタリアご,Italian language
ロシア語,ロシアご,Russian language
アラビア語,アラビアご,Arabic language
市場,いちば,market
病院,びょういん,hospital
郵便局,ゆうびんきょく,post office
店,みせ,shop
大使館,たいしかん,embassy
アートギャラリー,あーとぎゃらりー,art gallery
寺院,じいん,temple
空港,くうこう,airport
橋,はし,bridge
トンネル,トンネル,tunnel
駐車場,ちゅうしゃじょう,car park
鉄道,てつどう,railway
駅,えき,train station
道,みち,street
ビーチ,びーち,beach
家族,かぞく,Family
女性,じょせい,Woman
男,おとこ,Man
女の子,おんなのこ,Girl
男の子,おとこのこ,Boy
友達,ともだち,Friend
母,はは,Mother
父,ちち,Father
周りに,まわりに,Around
後ろに,うしろに,Behind
の間に,のあいだに,Between
階下へ,かいかもへ,Downstairs
階上へ,かいじょうへ,Upstairs
ここに,ここに,Here
そこ,そこ,There
左に,ひだりに,Left
右に,みぎに,Right
出来る,できる,To be able to do / can do
する,する,To do
です,です,To be
なる,なる,To become
言う,いう,To say
行く,いく,To go
見る,みる,To see
送る,おくる,To send
持つ,もつ,To have
待つ,まつ,To wait
会う,あう,To meet
呼ぶ,よぶ,To call
置く,おく,To put
受ける,うける,To receive
作る,つくる,To make
着く,つく,To arrive
使う,つかう,To use
学ぶ,まなぶ,To learn
食べる,たべる,To eat
飲む,のむ,To drink
帰る,かえる,To return home
